image_var,name,tag,digest
KUBEVIRT_OPERATOR_IMAGE,quay.io/kubevirt/virt-operator,KUBEVIRT_VERSION,579e4813c1e0c6ddedfbb7abff471412f9c6872664879abd6ab2cb1d10aef204
KUBEVIRT_API_IMAGE,quay.io/kubevirt/virt-api,KUBEVIRT_VERSION,964aa8fb240cc706198d1f4109f3c5b46a50958fdee8307b75c1150d36dd566f
KUBEVIRT_CONTROLLER_IMAGE,quay.io/kubevirt/virt-controller,KUBEVIRT_VERSION,9abe0658de8405234614d395dfe0f4e8d2f8de6c17fa92c36f901edef3dac305
KUBEVIRT_LAUNCHER_IMAGE,quay.io/kubevirt/virt-launcher,KUBEVIRT_VERSION,7e2b251daca5fcbd44152c8b951c0b93d1ceff195eb13a4d0d889e98a5b66391
KUBEVIRT_HANDLER_IMAGE,quay.io/kubevirt/virt-handler,KUBEVIRT_VERSION,7781518a7aa948c72d4a0ded5d6a987d3da5b847bed5c31052cb9095b9919a44
KUBEVIRT_VIRTIO_IMAGE,quay.io/kubevirt/virtio-container-disk,KUBEVIRT_VERSION,77c448875247bf4dbeaa0b9b1b720c0f30bb8177628061c592ce7a68863a96c2
KUBEVIRT_LIBGUESTFS_TOOLS_IMAGE,quay.io/kubevirt/libguestfs-tools,KUBEVIRT_VERSION,ca4aa4e1d65d35c7f98837dde75ee6b094ce1a9565f7ee823879f82cff6ac69f
CNA_OPERATOR_IMAGE,quay.io/kubevirt/cluster-network-addons-operator,NETWORK_ADDONS_VERSION,4db419287975532b4ac003dbeb31c4be049abc67d41dc5c16d8e7cf027c1ced4
SSP_OPERATOR_IMAGE,quay.io/kubevirt/ssp-operator,SSP_VERSION,97d8d7627b3ade23614e427d1efc814917ce71115e5336c1e990297569b931ff
CDI_OPERATOR_IMAGE,quay.io/kubevirt/cdi-operator,CDI_VERSION,a2a340bd5ed5d4cb2f1cadb1b6264af59049f908af05bf4f4aae954cdb03677e
CDI_CONTROLLER_IMAGE,quay.io/kubevirt/cdi-controller,CDI_VERSION,8d2338eec37209b1006dcffdd0b9a0569f493394984e961b0012d408c625e877
CDI_APISERVER_IMAGE,quay.io/kubevirt/cdi-apiserver,CDI_VERSION,25b841508c1bcf22a7dd8b6ba81d09766c705f1371f64e2ed0ec1e2891aae8e0
CDI_CLONER_IMAGE,quay.io/kubevirt/cdi-cloner,CDI_VERSION,12cbfbae2e6817d64b0d064f5dc169955d229dfa885cce37371571fd45a0ac43
CDI_IMPORTER_IMAGE,quay.io/kubevirt/cdi-importer,CDI_VERSION,fd3a49a78ef571e17aeb205e55f893b851e2fff697da8446adea865d13dd073b
CDI_UPLOADPROXY_IMAGE,quay.io/kubevirt/cdi-uploadproxy,CDI_VERSION,fbec40ebb1db49b7c066db5cfb13a39bfc9db4ebe86de5484b0495dcb7fec095
CDI_UPLOADSERVER_IMAGE,quay.io/kubevirt/cdi-uploadserver,CDI_VERSION,4b93a76e6793c9db52dbb597b41058fbf8a46cb43d7218fd32e59480445cc502
HPPO_IMAGE,quay.io/kubevirt/hostpath-provisioner-operator,HPPO_VERSION,97e4f5b01051bde5d78bad46b2265275d59f445d99e819d67b1b900187be1929
HPP_IMAGE,quay.io/kubevirt/hostpath-provisioner,HPP_VERSION,12fea4b3c6fe5c98b7887d31c3af8e6693a336ff20be8d6b4dd6ff9de60f0da9
NMO_IMAGE,quay.io/kubevirt/node-maintenance-operator,NMO_VERSION,c4636d17a446b0491362d4c5ef9d91c5059f5c5f6305fc7750afc1780c384c0c
